nconst,primaryName,birthYear,deathYear,primaryProfession
nm2561765,Brian Selznick,1966,\N,"writer,actor"
nm0663048,Charley Parlapanides,\N,\N,"writer,producer,miscellaneous"
nm0663050,Vlas Parlapanides,\N,\N,"writer,producer,actor"
nm4713266,Elodie Tougne,\N,\N,actress
nm0957840,Ben Zook,1964,\N,"actor,producer,writer"
nm5235800,Richard Lopez,\N,\N,
nm4743320,Michael Perry,1982,2010,
nm5236279,Damon Hall,\N,\N,
nm0328836,Ray Goode,\N,\N,"camera_department,cinematographer"
nm0107950,Jeremy Brett,1933,1995,"actor,soundtrack"
nm0362570,Edward Hardwicke,1932,2011,actor
nm0403017,Robin Hunter,1929,2004,actor
nm0426996,Alf Joint,1927,2005,"stunts,actor,miscellaneous"
nm0358759,Peter Hammond,1923,2011,"director,actor,producer"
nm0370058,John Hawkesworth,1920,2003,"writer,producer,art_department"
nm0943921,June Wyndham-Davies,1929,\N,"director,producer,actress"
